"Id rejestru"|"Typ praktyki"|"Numer uchwały wykr."|"Data uchwały wykr."|"Numer ksiegi"|"Nazwa"|"Izba kod"|"Izba opis"|"Numer wpisu do rejestru przedsiebiorcow"|"Forma organizacyjno - prawna kod"|"Forma organizacyjno - prawna opis"|"Data rozp. dzialalnosci"|"Data rozp. dzialalnosci art. 104"|"Data zak. dzialalnosci"
"37229"|"Grupowa"|""|""|"000000132778"|"Grupowa Praktyka Pielęgniarek Środowiskowo Rodzinnych VENA s.c. "|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2002-01-01"|""|""
"37334"|"Grupowa"|""|""|"000000016791"|"Grupowa Praktyka Pielęgniarek i Położnej Środowiskowo Rodzinnych"|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2009-01-01"|""|""
"37344"|"Grupowa"|""|""|"000000016671"|"Grupowa Praktyka Pielęgniarek "SPÓŁ-MED" Jadwiga Misiak, Kamila Pacześna"|"15"|"Okręgowa Izba Pielęgniarek i Położnych w Koninie"|""|"0800"|"spółka cywilna"|"2006-06-01"|""|""
"37426"|"Grupowa"|""|""|"000000132889"|"Grupowa Praktyka Pielęgniarek i Położnej s.c. "Vita""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"0800 - spółka cywilna"|"2005-01-01"|""|""
"37437"|"Grupowa"|""|""|"000000132898"|"Poradnia Pielęgniarek "Opiekun" Grupowa Praktyka Pielęgniarek"|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2000-01-01"|""|""
"37453"|"Grupowa"|""|""|"000000132907"|"Grupowa Praktyka Pielęgniarek "PIELMED" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2007-12-01"|""|""
"37593"|"Grupowa"|""|""|"000000132983"|"Grupowa Praktyka Pielęgniarek i Położnych "Pomoc""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"37604"|"Grupowa"|""|""|"000000132989"|"Grupowa Praktyka Pielęgniarek "VITA" Jasnowska Teresa, Dębowiecka Jolanta"|"15"|"Okręgowa Izba Pielęgniarek i Położnych w Koninie"|""|"0800"|"0800 - spółka cywilna"|"2006-06-01"|""|""
"37621"|"Grupowa"|""|""|"000000016459"|"Grupowa Praktyka Pielęgniarek Środowiskowo Rodzinnych "Troska""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"1999-10-01"|""|""
"37645"|"Grupowa"|""|""|"000000133013"|"Grupowa Praktyka Pielęgniarek i Położnych "Rodzina""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|"0000008972"|"1000"|"spółka partnerska"|"2001-01-01"|""|""
"37656"|"Grupowa"|""|""|"000000133018"|"Acus"|"44"|"Okręgowa Izba Pielęgniarek i Położnych w Zamościu"|""|"0800"|"spółka cywilna"|"2001-01-02"|""|""
"37674"|"Grupowa"|""|""|"000000016704"|"Grupowa Praktyka Pielęgniarek i położnych "Polmed" "|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2006-07-31"|""|""
"37707"|"Grupowa"|""|""|"000000016725"|"Grupowa Praktyka Pielęgniarek Środowiskowych-Rodzinnych "Rodzina""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2006-09-01"|""|""
"37711"|"Grupowa"|""|""|"000000133049"|"Położna Środowiskowo-Rodzinna "Osesek" s.p."|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"1000"|"spółka partnerska"|"2000-01-01"|""|""
"37749"|"Grupowa"|""|""|"000000016048"|"Grupowa Praktyka Pielęgniarska "PROMED" Helena Krawczyk, Urszula Augustyniak"|"15"|"Okręgowa Izba Pielęgniarek i Położnych w Koninie"|""|"0800"|"0800 - spółka cywilna"|"2006-06-01"|""|""
"37763"|"Grupowa"|""|""|"000000133082"|"Grupowa Praktyka Pielęgniarek Środowiskowych s.c. A.Siwak M.Szymoniak"|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"37802"|"Grupowa"|""|""|"000000133101"|"Grupowa Praktyka Pielęgniarek Środowiskowo-Rodzinnych "Jawina""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2000-01-01"|""|""
"37863"|"Grupowa"|""|""|"000000016434"|"Grupowa Praktyka Pielęgniarek Środowiskowo-Rodzinnych "PROM-MEDYK""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"1999-10-01"|""|""
"38007"|"Grupowa"|""|""|"000000133210"|""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"72"|""|"1999-07-15"|""|""
"38064"|"Grupowa"|""|""|"000000133244"|"Grupowa Praktyka Pielegniarek "Zdrowie" s.c."|"37"|"Okręgowa Izba Pielęgniarek i Położnych w Nowym Sączu"|""|"0800"|"0800 - spółka cywilna"|"2001-03-01"|""|""
"38399"|"Grupowa"|""|""|"000000133673"|"Grupowa Praktyka Pielęgniarek "Alvita" s.c."|"19"|"Okręgowa Izba Pielęgniarek i Położnych w Lesznie"|""|"0800"|"spółka cywilna"|"2009-01-01"|""|""
"38403"|"Grupowa"|""|""|"000000133675"|"Grupowa Praktyka Pielęgniarek i Położnych "ELMED""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2000-01-01"|""|""
"38455"|"Grupowa"|""|""|"000000133705"|"Grupowa Praktyka Pielęgniarek "Szkol-Med" s.c."|"37"|"Okręgowa Izba Pielęgniarek i Położnych w Nowym Sączu"|""|"0800"|"0800 - spółka cywilna"|"2000-03-01"|""|""
"38650"|"Grupowa"|""|""|"000000016007"|"Zespół Pielęgniarek i Położnych "FIDES" s.c."|"15"|"Okręgowa Izba Pielęgniarek i Położnych w Koninie"|""|"0800"|"spółka cywilna"|"2006-06-01"|""|""
"38799"|"Grupowa"|""|""|"000000133918"|"Usługi Pielęgniarskie s.c."|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"0800"|"spółka cywilna"|"2010-01-01"|""|""
"38843"|"Grupowa"|""|""|"000000133942"|"Grupowa Praktyka Pielęgniarek "POCIECHA" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2002-01-01"|""|""
"38865"|"Grupowa"|""|""|"000000133953"|"Grupowa Praktyka Pielęgniarek i Położnych "OPIEKA" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"38890"|"Grupowa"|""|""|"000000133968"|"Grupowa Praktyka Pielęgniarek i Położnych "MELISA" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2001-04-01"|""|""
"38927"|"Grupowa"|""|""|"000000006254"|"Grupowa Praktyka Pielęgniarek "RODZINA" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"38931"|"Grupowa"|""|""|"000000133991"|"Grupowa Praktyka Pielęgniarek i Położnych s.c. "ZDROWIE""|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"38935"|"Grupowa"|""|""|"000000133995"|"Grupowa Praktyka Pielęgniarek i Położnej Ewa Zielińska i Partnerzy "ZDROWIE""|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"1000"|"1000 - spółka partnerska"|"2000-01-01"|""|""
"38943"|"Grupowa"|""|""|"000000134002"|"Grupowa Praktyka Pielęgniarek "ZDROWIE" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"38967"|"Grupowa"|""|""|"000000134019"|"Grupowa Praktyka Pielęgniarska s.c. A. Gawłowicz, O. Szpakowska"|"36"|"Okręgowa Izba Pielęgniarek i Położnych w Szczecinie"|""|"0800"|"spółka cywilna"|"2009-03-01"|""|""
"39084"|"Grupowa"|""|""|"000000134094"|"Grupowa Praktyka Położnicza "MAMA-MED""|"09"|"Okręgowa Izba Pielęgniarek i Położnych w Gdańsku"|""|"0800"|"spółka cywilna"|"2001-06-29"|""|""
"39311"|"Grupowa"|""|""|"000000134231"|"Praktyka Pielęgniarska s.c. A.Kostuj M.Wieczorek"|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2004-01-01"|""|""
"39350"|"Grupowa"|""|""|"000000134256"|"Grupowa Praktyka Pielęgniarek "Vena""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"39370"|"Grupowa"|""|""|"000000134267"|""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"72"|""|"2009-02-24"|""|""
"39423"|"Grupowa"|""|""|"000000134296"|"Grupowa Praktyka Pielęgniarek "Uśmiech""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2009-01-01"|""|""
"39448"|"Grupowa"|""|""|"000000134309"|"Grupowa Praktyka Pielęgniarek Środowiskowo-Rodzinnych "Nadzieja""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2000-01-01"|""|""
"39468"|"Grupowa"|""|""|"000000015818"|"Grupowa Praktyka "ALGRA""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"1999-01-01"|""|""
"39508"|"Grupowa"|""|""|"000000134342"|"Grupowa Praktyka Pielęgniarek "SZKOL-MED" s.c."|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"0800"|"spółka cywilna"|"2010-01-01"|""|""
"39542"|"Grupowa"|""|""|"000000134363"|""|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"72"|""|"2000-01-01"|""|""
"39580"|"Grupowa"|""|""|"000000134383"|"Grupowa Praktyka Pielegniarska"|"37"|"Okręgowa Izba Pielęgniarek i Położnych w Nowym Sączu"|""|"0800"|"0800 - spółka cywilna"|"2009-07-01"|""|""
"39753"|"Grupowa"|""|""|"000000134485"|"Praktyka Położnych Rodzinnych NOVA VITA  s.c. Renata Grajper, Katarzyna Kołecka , Elżbieta Fałkowska"|"08"|"Okręgowa Izba Pielęgniarek i Położnych w Elblągu"|""|"0800"|"spółka cywilna"|"2004-10-18"|""|""
"40212"|"Grupowa"|""|""|"000000134718"|"Opieka domowa"|"44"|"Okręgowa Izba Pielęgniarek i Położnych w Zamościu"|""|"0800"|"0800 - spółka cywilna"|"2001-06-27"|""|""
"40216"|"Grupowa"|""|""|"000000134721"|"Medicus SC"|"44"|"Okręgowa Izba Pielęgniarek i Położnych w Zamościu"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"40226"|"Grupowa"|""|""|"000000134726"|"Spółka Usług Pielęgniarskich spółka cywilna"|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"40435"|"Grupowa"|""|""|"000000134837"|"Grupowa Praktyka Pielęgniarek s.c.Lucyna Koska ,Bożena Drzewieka"|"34"|"Okręgowa Izba Pielęgniarek i Położnych w Słupsku"|"000000134837"|"0800"|"spółka cywilna"|"2004-11-02"|""|""
"40893"|"Grupowa"|""|""|"000000135075"|"Grupowa Praktyka Pielęgniarek "CORDIS" s.c."|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"0800"|"0800 - spółka cywilna"|"2009-07-01"|""|""
"40895"|"Grupowa"|""|""|"000000135076"|"Czub, Miłkowska, Łącka - Spółka Partnerska Pielęgniarek"|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|"KRS 0000167139"|"1000"|"1000 - spółka partnerska"|"2004-01-01"|""|""
"40899"|"Grupowa"|""|""|"000000016035"|"Usługi Pielęgniarskie "ZDROWIE" s.c."|"15"|"Okręgowa Izba Pielęgniarek i Położnych w Koninie"|""|"0800"|"spółka cywilna"|"2006-06-01"|""|""
"40908"|"Grupowa"|""|""|"000000135081"|"Grupowa Praktyka Położnych Środowiskowo-Rodzinnych "NOWE ŻYCIE" s.c."|"15"|"Okręgowa Izba Pielęgniarek i Położnych w Koninie"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"41232"|"Grupowa"|""|""|"000000135257"|"Grupowa Praktyka Pielęgniarek "PULS" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2000-01-01"|""|""
"41234"|"Grupowa"|""|""|"000000135259"|"Grupowa praktyka pielęgniarstwa Rodzinnego Promyk"|"31"|"Okręgowa Izba Pielęgniarek i Położnych w Rzeszowie"|""|"0800"|"spółka cywilna"|"2004-01-01"|""|""
"41258"|"Grupowa"|""|""|"000000135274"|"Grupowa Praktyka Położnych Środowiskowo-Rodzinnych "Promiss-Med""|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"0800"|"0800 - spółka cywilna"|"2002-03-29"|""|""
"41285"|"Grupowa"|""|""|"000000135287"|"Grupowa Praktyka Pielęgniarska s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2010-10-19"|""|""
"41360"|"Grupowa"|""|""|"000000135327"|"Grupowa Praktyka Pielęgniarek Środowiskowo-Rodzinnych s.c. "Rodzina""|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"41446"|"Grupowa"|""|""|"000000135373"|"Praktyka Grupowa Pielęgniarek Środowiskowo-Rodzinnych s.c. M. Dąbrowska, R.Maj, K. Miś, J. Prusek"|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"2001-01-01"|""|""
"41463"|"Grupowa"|""|""|"000000135383"|"Grupowa Praktyka Pielęgniarek "Zdrowie" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"41677"|"Grupowa"|""|""|"000000009779"|"Grupowa Praktyka Pielegniarek Środowiskowo-Rodzinnych "NADZIEJA""|"24"|"Okręgowa Izba Pielęgniarek i Położnych w Opolu"|""|"0800"|"spółka cywilna"|"2005-01-01"|""|""
"41731"|"Grupowa"|""|""|"000000135527"|"Grupowa Praktyka Pielęgniarek Środowiskowo-Rodzinnych "Millennium" S.C."|"09"|"Okręgowa Izba Pielęgniarek i Położnych w Gdańsku"|""|"0800"|"spółka cywilna"|"2000-11-02"|""|""
"42023"|"Grupowa"|""|""|"000000135689"|"Pielęgniarki i Położne Środowiskowo-Rodzinne Praktyka Grupowa"|"09"|"Okręgowa Izba Pielęgniarek i Położnych w Gdańsku"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"42212"|"Grupowa"|""|""|"000000135809"|"Centrum Opieki Pielęgniarskiej"|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|"0000424500"|"1000"|"spółka partnerska"|"2000-01-01"|""|""
"42248"|"Grupowa"|""|""|"000000135827"|"Grupowa Praktyka Piel.i Poł. "Biały Czepek""|"30"|"Okręgowa Izba Pielęgniarek i Położnych w Radomiu"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
